;T2M_MAX;T2M_MIN;T2MDEW;T2M;ALLSKY_SFC_SW_DWN;ALLSKY_SFC_SW_UP;ALLSKY_SFC_LW_DWN;ALLSKY_SFC_LW_UP;PS;WS2M;PRECTOTCORR
20231120;28.24;17.31;19.51;22.45;5.0;0.67;9.15;10.29;93.4;0.61;0.23
20231121;27.77;18.18;18.96;22.37;6.02;0.78;9.07;10.37;93.29;0.52;0.08
20231122;28.1;16.59;19.4;22.19;4.22;0.56;9.34;10.39;93.23;0.47;0.04
20231123;25.64;18.81;19.86;21.83;3.49;0.47;9.45;10.01;93.26;0.6;0.28
20231124;25.09;19.79;19.68;21.82;1.46;0.19;9.34;10.04;93.35;0.78;0.29
20231125;25.35;19.62;19.81;22.2;3.32;0.44;9.47;10.26;93.33;0.96;0.34
20231126;25.86;18.98;19.52;21.96;4.24;0.56;9.45;10.52;93.41;0.91;0.46
20231127;26.79;19.04;19.19;22.37;4.76;0.63;9.29;10.59;93.29;0.88;0.04
20231128;27.6;18.51;19.32;22.43;3.71;0.49;9.44;10.32;93.26;0.84;0.06
20231129;27.59;19.43;20.17;22.92;4.67;0.61;9.52;10.64;93.3;0.92;0.17
20231130;25.75;20.33;20.81;22.59;4.29;0.57;9.47;10.42;93.4;0.84;1.31
20231201;27.18;20.44;19.91;22.94;4.45;0.58;9.33;10.26;93.34;1.1;0.13
20231202;26.05;20.0;20.07;22.29;2.98;0.39;9.44;10.17;93.41;1.04;9.94
20231203;24.69;19.58;20.53;21.57;1.93;0.25;9.39;10.1;93.43;1.0;20.72
20231204;26.94;18.33;19.85;22.2;4.32;0.56;9.32;10.3;93.38;0.6;0.95
20231205;25.3;19.04;20.41;21.96;4.81;0.62;9.28;10.19;93.34;0.65;0.53
20231206;26.72;19.32;20.76;22.51;4.45;0.58;9.34;10.29;93.4;0.62;0.92
20231207;27.62;18.49;19.69;22.48;5.21;0.67;9.1;10.14;93.4;0.63;0.59
20231208;27.1;18.5;19.85;22.23;4.8;0.62;9.2;10.33;93.4;0.4;0.03
20231209;27.42;17.52;19.17;22.13;5.74;0.72;8.97;10.43;93.34;0.45;0.0
20231210;27.39;18.2;19.2;22.46;5.42;0.7;8.85;10.53;93.29;0.55;0.04
20231211;27.79;16.95;19.14;21.96;5.92;0.7;8.64;10.56;93.35;0.56;0.06
20231212;27.71;16.42;19.07;21.65;5.62;0.72;8.8;10.37;93.33;0.75;0.12
20231213;26.92;18.36;19.5;21.92;5.27;0.68;9.05;10.28;93.41;0.91;0.02
20231214;28.09;18.43;20.06;22.62;5.57;0.72;9.18;10.58;93.48;0.83;0.01
20231215;27.31;18.08;19.34;22.15;5.26;0.69;9.05;10.42;93.42;0.72;0.0
20231216;28.02;17.23;19.2;22.23;5.53;0.72;8.91;10.41;93.39;0.63;0.33
20231217;27.02;18.57;19.57;21.87;4.96;0.64;9.13;10.46;93.44;1.02;1.72
20231218;27.17;19.11;20.17;22.37;3.61;0.47;9.39;10.43;93.45;0.95;2.33
20231219;27.24;18.69;19.66;22.53;4.38;0.57;9.38;10.41;93.45;0.8;0.34
20231220;26.67;19.17;19.77;22.34;3.04;0.4;9.44;10.01;93.38;1.01;3.3
20231221;26.21;18.66;17.96;21.48;5.08;0.65;8.97;10.58;93.41;1.26;0.69
20231222;24.23;18.97;17.28;20.9;3.39;0.44;9.24;10.04;93.49;1.63;0.56
20231223;25.02;18.93;17.85;21.32;3.12;0.4;9.48;10.36;93.6;1.42;0.57
20231224;26.35;19.12;18.52;21.74;3.17;0.41;9.37;9.88;93.69;1.08;0.93
20231225;24.87;17.03;16.58;20.34;5.4;0.69;8.92;10.2;93.64;1.1;0.15
20231226;26.84;17.02;17.52;21.19;5.67;0.73;8.94;10.18;93.65;0.9;0.03
20231227;27.71;18.09;19.24;22.32;4.35;0.56;9.39;10.35;93.67;0.77;0.04
20231228;27.87;19.28;20.11;22.93;4.09;0.53;9.46;10.44;93.56;0.68;0.15
20231229;28.22;18.99;19.95;23.08;5.53;0.71;9.22;10.43;93.45;0.69;0.02
20231230;28.29;18.82;19.71;23.03;5.62;0.71;9.02;10.55;93.37;0.46;0.01
20231231;28.02;17.69;18.9;22.49;5.76;0.72;8.94;10.43;93.41;0.46;0.01
